,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
315,N/A,N/A,all,N/A,N/A,N/A,N/A,N/A,23.42,10.11,0.75,1.30,8.24,13.54,2.59,13.22,83.79,28960000000.0,28960000000.0,10.79,1.74,0.82,5.61,0.82,13130000000.0,5.61,2810000000.0,6.51,12.80,3.10,3410000000.0,8.35,5190000000.0,0.51,49.96,3330000000.0,1.04,0.17,79.80,5150000.0,1.80,1.30,4350000.0,N/A
316,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,34.81,32.22,4.58,13.51,14.57,17.30,17.18,47.10,11.79,81160000000.0,81160000000.0,29.37,1.85,4.59,20.86,4.59,9590000000.0,20.86,2580000000.0,1.69,15.90,17.80,1850000000.0,1.23,2089999999.9999998,1.21,4.00,3590000000.0,0.78,2.69,73.90,12860000.0,1.90,0.90,14720000.0,N/A
317,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,138.92,23.68,3.85,2.84,16.36,32.13,3.44,10.92,8.47,35790000000.0,35790000000.0,23.77,5.58,6.30,13.62,6.30,3110000000.0,13.62,930000000.0,1.39,36.30,11.90,417000000.0,0.62,14290000000.0,0.76,11.48,2300000000.0,0.75,0.17,68.70,26070000.0,7.10,3.90,25690000.0,N/A
318,N/A,N/A,leg,N/A,N/A,N/A,N/A,N/A,89.59,60.86,1.75,6.13,3.01,9.20,7.04,19.50,27.42,7500000000.0,7500000000.0,21.25,1.58,1.94,16.07,1.94,790400000.0,16.07,238800000.0,0.82,35.00,10.40,262200000.0,1.90,1000000000.0,1.48,8.03,433700000.0,0.93,1.98,75.10,5730000.0,5.60,4.20,5590000.0,N/A
319,N/A,N/A,aiz,N/A,N/A,N/A,N/A,N/A,24.66,12.89,0.44,0.91,3.64,6.15,1.34,7.51,147.48,4610000000.0,4610000000.0,10.60,1.92,0.44,5.90,0.44,2290000000.0,5.90,383710000.0,5.31,63.50,6.10,1310000000.0,19.33,1260000000.0,0.78,75.12,88970000.0,0.99,1.32,98.90,1500000.0,1.80,2.20,1530000.0,N/A
320,N/A,N/A,dov,N/A,N/A,N/A,N/A,N/A,79.44,14.38,1.48,3.18,10.76,15.69,8.69,19.80,46.55,13940000000.0,13940000000.0,15.14,2.00,1.82,9.21,1.82,2970000000.0,9.21,725290000.0,4.95,30.80,4.80,538490000.0,3.36,2840000000.0,1.59,22.32,1110000000.0,1.13,0.87,88.00,9520000.0,6.00,6.00,9330000.0,N/A
321,N/A,N/A,bxp,N/A,N/A,N/A,N/A,N/A,124.25,34.38,7.63,3.37,22.75,34.85,2.81,8.74,16.10,28440000000.0,28440000000.0,20.92,3.42,11.54,19.12,11.54,1530000000.0,19.12,550070000.0,3.59,206.90,9.70,1060000000.0,6.94,10070000000.0,4.65,36.39,772790000.0,0.01,0.77,103.20,2380000.0,3.20,2.00,2300000.0,N/A
322,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,35.55,13.42,0.84,2.30,6.42,10.20,4.87,18.41,33.21,16840000000.0,16840000000.0,14.52,2.26,0.86,8.04,0.86,2090000000.0,8.04,1260000000.0,2.11,8.00,4.00,2370000000.0,4.04,2560000000.0,0.96,12.26,1840000000.0,0.97,8.72,80.50,16489999.999999998,4.40,2.80,17710000.0,N/A
323,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,35.46,18.79,3.90,4.11,21.10,29.96,10.67,22.53,11.53,3.1066e+11,3.1066e+11,16.28,2.61,3.28,9.22,3.28,59900000000.0,9.22,20000000000.0,2.41,11.90,6.50,95290000000.0,11.78,31960000000.0,2.91,11.11,31780000000.0,0.73,7.91,71.30,68370000.0,2.00,0.90,79760000.0,N/A
324,N/A,N/A,fis,N/A,N/A,N/A,N/A,N/A,80.16,28.69,2.78,2.81,9.86,19.82,5.55,10.22,22.74,23020000000.0,23020000000.0,17.13,1.60,3.57,14.17,3.57,2080000000.0,14.17,647800000.0,2.21,28.20,2.30,489000000.0,1.73,5200000000.0,1.48,22.46,1170000000.0,0.77,0.82,84.20,2350000.0,1.70,0.80,2440000.0,N/A
325,N/A,N/A,jec,N/A,N/A,N/A,N/A,N/A,17.13,16.52,0.43,1.23,2.66,5.33,5.17,8.04,97.22,5790000000.0,5790000000.0,13.03,1.53,0.46,7.04,0.46,2070000000.0,7.04,332960000.0,2.56,1.80,8.60,464950000.0,3.70,755430000.0,1.70,34.54,630160000.0,1.82,2.20,85.00,4680000.0,4.20,3.60,4480000.0,N/A
326,N/A,N/A,ua,N/A,N/A,N/A,N/A,N/A,49.07,91.61,5.65,13.25,6.35,11.12,10.88,16.54,15.19,18750000000.0,18750000000.0,60.51,3.33,5.77,42.88,5.77,1510000000.0,42.88,206230000.0,0.94,13.40,25.50,232040000.0,1.08,679380000.0,3.20,6.42,190040000.0,0.06,0.77,81.00,13850000.0,7.20,7.80,13830000.0,N/A
327,N/A,N/A,f,N/A,N/A,N/A,N/A,N/A,489.87,19.67,0.43,2.46,2.20,2.74,1.16,11.96,36.28,1.6338e+11,1.6338e+11,8.19,0.56,1.15,14.31,1.15,17860000000.0,14.31,3120000000.0,0.78,6.60,5.50,19540000000.0,4.92,122780000000.0,1.76,6.28,14700000000.0,0.82,0.33,57.40,88600000.0,3.90,2.50,82230000.0,N/A
328,N/A,N/A,t,N/A,N/A,N/A,N/A,N/A,115.29,32.57,1.42,2.17,4.36,9.84,2.75,6.79,25.49,2.8355e+11,2.8355e+11,13.95,3.21,2.14,9.52,2.14,71840000000.0,9.52,5770000000.0,1.11,12.40,0.30,4440000000.0,0.86,100420000000.0,0.73,16.66,29280000000.0,0.65,0.05,62.70,310970000.0,9.50,6.00,318480000.0,N/A
329,N/A,N/A,wmb,N/A,N/A,N/A,N/A,N/A,114.86,20.70,5.44,5.03,26.88,16.54,2.00,15.21,10.34,67730000000.0,67730000000.0,42.00,3.31,8.91,25.59,8.91,3130000000.0,25.59,2040000000.0,2.76,50.00,1.90,341000000.0,0.46,22490000000.0,0.70,10.98,2340000000.0,0.79,0.17,77.10,25470000.0,3.00,3.70,16860000.0,N/A
330,N/A,N/A,hrs,N/A,N/A,N/A,N/A,N/A,89.33,15.94,1.68,4.44,10.70,17.36,10.81,29.04,46.70,9420000000.0,9420000000.0,15.72,9.79,1.93,8.85,1.93,1700000000.0,8.85,525400000.0,4.91,11.10,6.40,487700000.0,4.68,1640000000.0,1.93,17.66,790400000.0,1.55,0.14,86.70,6430000.0,5.50,6.20,6580000.0,N/A
331,N/A,N/A,bax,N/A,N/A,N/A,N/A,N/A,138.05,16.59,2.37,5.42,14.29,19.03,7.87,23.27,30.59,45310000000.0,45310000000.0,17.67,5.00,2.73,10.86,2.73,8160000000.0,10.86,1860000000.0,4.34,22.70,2.20,2530000000.0,4.65,10060000000.0,1.60,13.35,2750000000.0,0.45,0.15,83.10,16480000.0,4.60,3.00,18080000.0,N/A
332,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,226.95,29.93,0.76,15.48,2.60,9.59,4.45,15.95,51.71,16750000000.0,16750000000.0,23.62,4.74,1.55,12.38,1.55,2110000000.0,12.38,288920000.0,1.33,35.00,42.90,239410000.0,1.15,8840000000.0,0.52,2.54,834260000.0,1.34,0.83,74.10,7560000.0,3.30,3.70,9500000.0,N/A
333,N/A,N/A,peg,N/A,N/A,N/A,N/A,N/A,72.34,11.71,1.83,1.58,15.91,26.14,5.10,14.11,21.34,28880000000.0,28880000000.0,13.56,4.60,2.67,6.76,2.67,3850000000.0,6.76,1720000000.0,3.38,51.80,2.70,1020000000.0,2.02,9080000000.0,1.15,24.83,3720000000.0,0.57,0.14,67.90,9630000.0,2.90,1.90,8700000.0,N/A
334,N/A,N/A,big,N/A,N/A,N/A,N/A,N/A,5.10,17.68,0.46,3.06,2.77,4.51,8.82,17.22,95.94,2390000000.0,2390000000.0,13.49,1.84,0.46,6.98,0.46,2040000000.0,6.98,140390000.0,2.62,862.20,0.10,67190000.0,1.30,40500000.0,1.67,15.09,303920000.0,1.50,2.01,108.40,9090000.0,8.20,17.00,7960000.0,N/A
335,N/A,N/A,hst,N/A,N/A,N/A,N/A,N/A,52.81,23.39,2.82,2.09,12.07,12.79,3.56,8.85,7.14,19090000000.0,19090000000.0,11.78,1.73,3.54,13.75,3.54,3320000000.0,13.75,651000000.0,0.86,45.30,1.10,485000000.0,0.64,3970000000.0,2.83,9.64,1150000000.0,1.17,1.94,105.10,29090000.0,4.00,5.20,35100000.0,N/A
336,N/A,N/A,nus,N/A,N/A,N/A,N/A,N/A,28.70,17.26,1.17,3.10,6.99,13.09,12.27,18.96,41.31,2890000000.0,2890000000.0,11.44,4.54,1.18,7.63,1.18,2090000000.0,7.63,170600000.0,2.81,33.90,19.00,316340000.0,5.40,265100000.00000003,2.01,15.71,178330000.0,2.70,6.06,70.90,6220000.0,5.30,10.80,5540000.0,N/A
337,N/A,N/A,pll,N/A,N/A,N/A,N/A,N/A,71.84,35.03,4.66,8.13,13.64,19.31,9.32,22.51,26.36,13360000000.0,13360000000.0,29.95,2.67,4.69,19.94,4.69,1430000000.0,19.94,388930000.0,3.56,8.40,0.20,1090000000.0,10.25,1170000000.0,1.69,15.30,522150000.0,1.38,0.20,95.30,0.30,0.30,0.80,2900000.0,N/A
338,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,85.46,18.55,4.68,3.65,26.00,36.84,8.75,20.59,8.68,1.6844e+11,1.6844e+11,13.80,1.94,4.41,9.94,4.41,31040000000.0,9.94,9940000000.0,2.21,24.40,5.40,54370000000.0,12.47,41960000000.0,4.13,11.26,14340000000.0,1.18,25.05,61.60,20740000.0,2.00,0.60,24370000.0,N/A
339,N/A,N/A,ew,N/A,N/A,N/A,N/A,N/A,27.22,18.20,6.51,7.02,36.57,23.70,11.54,49.19,22.39,14950000000.0,14950000000.0,31.15,2.39,6.26,23.54,6.26,1700000000.0,23.54,874200000.0,8.03,104.60,13.00,1370000000.0,12.75,602700000.0,5.56,20.59,956700000.0,0.84,1.26,94.20,1120000.0,0.90,1.00,1210000.0,N/A
340,N/A,N/A,aiv,N/A,N/A,N/A,N/A,N/A,202.54,16.94,6.11,3.98,35.53,27.28,2.63,4.64,6.43,10400000000.0,10400000000.0,15.87,2.33,10.94,19.10,10.94,603740000.0,19.10,20490000.0,2.20,43.60,0.80,164490000.0,1.05,3890000000.0,0.83,9.32,331270000.0,0.27,0.96,101.50,2140000.0,1.60,1.90,3330000.0,N/A
341,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,20.28,17.37,1.54,3.02,9.21,13.81,10.78,17.72,86.40,11740000000.0,11740000000.0,17.39,2.14,1.54,8.72,1.54,4380000000.0,8.72,702000000.0,7.88,19.00,1.00,1140000000.0,13.26,789000000.0,2.80,45.09,894000000.0,0.93,1.08,92.40,3300000.0,3.20,5.40,2720000.0,N/A
342,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,167.14,30.00,1.92,6.55,6.56,13.62,7.81,20.05,21.12,13820000000.0,13820000000.0,17.31,2.01,2.39,14.63,2.39,2200000000.0,14.63,378200000.0,1.38,2.30,4.10,215400000.0,0.80,2840000000.0,1.19,6.31,571900000.0,0.88,0.53,91.20,4330000.0,2.60,1.80,4750000.0,N/A
343,N/A,N/A,msi,N/A,N/A,N/A,N/A,N/A,162.18,11.06,2.09,5.90,21.21,17.16,5.99,23.73,24.91,12290000000.0,12290000000.0,14.97,8.83,2.09,10.40,2.09,2830000000.0,10.40,695000000.0,5.28,41.70,0.40,3350000000.0,15.90,3400000000.0,2.98,9.89,485000000.0,0.59,0.43,90.40,3740000.0,2.90,1.80,3380000.0,N/A
344,N/A,N/A,hsp,N/A,N/A,N/A,N/A,N/A,51.18,44.92,3.34,4.45,7.43,12.59,5.68,10.44,27.08,16370000000.0,16370000000.0,25.82,2.14,3.57,20.32,3.57,1590000000.0,20.32,340900000.0,1.98,11.30,11.80,648900000.0,3.76,1760000000.0,2.48,19.91,542800000.0,1.13,0.45,93.10,1430000.0,1.20,0.90,1360000.0,N/A
345,N/A,N/A,dhr,N/A,N/A,N/A,N/A,N/A,13.58,23.73,3.00,2.59,12.86,17.83,6.31,11.15,28.59,61400000000.0,61400000000.0,18.13,1.44,3.05,13.50,3.05,10440000000.0,13.50,2590000000.0,3.61,1.70,4.50,2510000000.0,3.55,3180000000.0,1.77,32.96,3770000000.0,1.09,23.04,69.20,11160000.0,2.40,2.10,9610000.0,N/A
346,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,17.98,31.05,6.66,4.21,21.48,29.87,8.58,13.61,10.02,19150000000.0,19150000000.0,20.18,2.31,6.11,16.83,6.11,1830000000.0,16.83,673400000.0,2.12,9.60,18.20,3070000000.0,9.81,892760000.0,3.79,15.83,988390000.0,1.24,0.91,85.60,5580000.0,2.10,1.80,6500000.0,N/A
347,N/A,N/A,fast,N/A,N/A,N/A,N/A,N/A,6.71,25.20,3.30,6.74,13.38,21.30,22.11,27.84,12.87,12640000000.0,12640000000.0,21.23,1.58,3.32,14.26,3.32,1900000000.0,14.26,509830000.0,1.71,14.00,8.80,120790000.0,0.41,125000000.0,3.31,6.34,536200000.0,0.93,13.41,81.50,37010000.0,18.10,12.60,38200000.0,N/A
348,N/A,N/A,siri,N/A,N/A,N/A,N/A,N/A,575.27,48.25,4.90,23.70,11.84,27.81,8.58,27.95,0.75,25810000000.0,25810000000.0,25.73,1.20,6.05,17.81,6.05,2080000000.0,17.81,504950000.0,0.08,12.50,8.30,482040000.0,0.09,5110000000.0,0.79,0.16,1310000000.0,0.83,57.91,27.40,139920000.0,6.40,6.00,155730000.0,N/A
349,N/A,N/A,d,N/A,N/A,N/A,N/A,N/A,214.90,26.88,3.23,3.29,12.01,25.21,3.64,12.28,20.91,66620000000.0,66620000000.0,17.34,3.10,5.45,14.25,5.45,4560000000.0,14.25,1470000000.0,2.50,41.40,6.10,288000000.0,0.49,26680000000.0,0.63,20.38,3820000000.0,0.27,0.40,60.00,11040000.0,4.70,1.90,12230000.0,N/A
350,N/A,N/A,pbi,N/A,N/A,N/A,N/A,N/A,875.37,11.84,1.15,79.37,9.79,17.54,6.49,85.25,18.71,6580000000.0,6580000000.0,10.00,5.76,1.74,7.67,1.74,2140000000.0,7.67,338550000.0,1.82,80.40,5.00,913430000.0,4.53,3080000000.0,1.05,0.27,653800000.0,1.59,1.02,87.50,21420000.0,11.40,13.40,22280000.0,N/A
351,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,175.17,19.55,1.66,1.94,8.66,20.55,4.34,9.92,20.17,11560000000.0,11560000000.0,15.80,2.59,3.29,6.43,3.29,1950000000.0,6.43,304000000.0,1.74,7.90,6.30,63000000.0,0.37,5270000000.0,0.62,17.57,1520000000.0,0.99,0.26,111.50,38780000.0,16.40,27.00,35810000.0,N/A
