,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
272,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,65.76,15.40,1.25,3.18,8.66,12.52,8.05,19.54,89.99,17880000000.0,17880000000.0,14.75,1.50,1.37,9.12,1.37,3030000000.0,9.12,1130000000.0,7.67,17.70,5.80,2029999999.9999998,14.64,3390000000.0,2.09,37.15,1360000000.0,1.59,0.79,81.00,7960000.0,6.00,6.10,8460000.0,N/A
273,N/A,N/A,ma,N/A,N/A,N/A,N/A,N/A,23.60,29.00,11.30,17.13,39.52,54.27,21.96,58.35,8.25,1.038e+11,1.038e+11,23.05,1.59,10.89,18.85,10.89,9470000000.0,18.85,3770000000.0,3.26,17.20,2.70,5800000000.0,5.08,1500000000.0,1.74,5.51,3750000000.0,1.36,10.66,78.50,14980000.0,3.50,1.50,15700000.0,N/A
274,N/A,N/A,cost,N/A,N/A,N/A,N/A,N/A,55.72,26.45,0.52,5.71,1.99,3.07,6.72,20.46,263.99,60880000000.0,60880000000.0,24.35,2.73,0.53,13.08,0.53,14180000000.0,13.08,2310000000.0,5.22,9.10,1.20,6800000000.0,15.48,6030000000.0,1.05,24.08,4100000000.0,0.78,0.81,75.70,5050000.0,2.50,1.20,5540000.0,N/A
275,N/A,N/A,dltr,N/A,N/A,N/A,N/A,N/A,417.99,31.77,1.89,8.87,6.04,12.32,9.78,33.27,42.65,23580000000.0,23580000000.0,20.99,1.71,2.69,18.28,2.69,3030000000.0,18.28,530400000.0,2.57,49.70,8.80,870400000.0,4.22,7820000000.0,9.20,9.07,858400000.0,1.08,3.44,91.10,13090000.0,5.10,6.60,14010000.0,N/A
276,N/A,N/A,cmi,N/A,N/A,N/A,N/A,N/A,21.14,14.30,1.24,3.14,8.71,10.81,8.65,22.55,107.44,24060000000.0,24060000000.0,12.06,1.20,1.23,9.31,1.23,4860000000.0,9.31,1700000000.0,9.34,14.50,6.90,2109999999.9999998,11.71,1710000000.0,2.22,42.74,2180000000.0,1.34,0.21,83.40,5930000.0,4.20,3.50,6460000.0,N/A
277,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,39.61,10.72,0.33,1.96,3.23,2.93,4.74,18.98,232.14,46710000000.0,46710000000.0,11.36,1.41,0.36,9.73,0.36,21030000000.0,9.73,4170000000.0,7.43,37.20,47.00,5390000000.0,9.95,8950000000.0,1.64,40.17,3480000000.0,1.69,0.05,71.50,9400000.0,3.30,1.70,9980000.0,N/A
278,N/A,N/A,bwa,N/A,N/A,N/A,N/A,N/A,51.60,20.10,1.64,3.84,8.23,12.87,8.87,19.40,36.19,14560000000.0,14560000000.0,15.29,1.38,1.77,10.52,1.77,1760000000.0,10.52,675600000.0,2.96,12.40,4.80,1040000000.0,4.58,1840000000.0,2.08,15.49,788100000.0,1.25,1.47,93.20,6550000.0,4.70,2.90,6520000.0,N/A
279,N/A,N/A,symc,N/A,N/A,N/A,N/A,N/A,35.32,18.85,2.53,2.77,13.49,21.53,6.54,14.97,9.45,14590000000.0,14590000000.0,11.76,1.64,2.24,7.93,2.24,5360000000.0,7.93,878000000.0,1.26,18.90,6.60,3890000000.0,5.72,2100000000.0,1.22,8.72,1310000000.0,1.13,0.25,92.30,6670000.0,1.80,1.10,6280000.0,N/A
280,N/A,N/A,fl,N/A,N/A,N/A,N/A,N/A,5.21,18.00,1.28,3.61,7.53,11.75,14.49,21.06,50.49,8180000000.0,8180000000.0,15.09,1.42,1.14,8.32,1.14,2370000000.0,8.32,542000000.0,3.74,13.60,2.60,986000000.0,7.08,133000000.0,3.58,18.28,653000000.0,1.29,1.27,89.10,14420000.0,6.70,10.40,12850000.0,N/A
281,N/A,N/A,yhoo,N/A,N/A,N/A,N/A,N/A,3.52,5.47,8.18,1.14,153.49,3.38,0.30,31.03,4.86,34120000000.0,34120000000.0,50.08,3.83,7.24,57.00,7.24,3320000000.0,57.00,7230000000.0,7.32,93.20,8.20,5280000000.0,5.63,1190000000.0,5.02,35.91,2180000000.0,1.46,13.38,61.60,41100000.0,2.40,4.80,36790000.0,N/A
